onet_soc_code,occupation_title,stem_occupation_types,job_zone,bright_outlook,task_id,task,task_category,importance,task_rank_in_occupation,dwa_id,dwa_title,iwa_id,iwa_title,gwa_id,gwa_title
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1340,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Core,73.0,7,4.A.3.b.6.i.1,Prepare procedural documents.,4.A.3.b.6.i,"Document technical designs, procedures, or activities.",4.A.3.b.6,Documenting/Recording Information
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,20728,Direct aerospace research and development programs.,Supplemental,69.0,12,4.A.4.b.4.e.10,Direct design or development activities.,4.A.4.b.4.e,Direct scientific or technical activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1346,Maintain records of performance reports for future reference.,Core,68.0,8,4.A.3.b.6.h.21,Maintain operational records or records systems.,4.A.3.b.6.h,Maintain operational records.,4.A.3.b.6,Documenting/Recording Information
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1341,"Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.",Core,66.0,9,4.A.2.a.4.e.6,Analyze design or requirements information for mechanical equipment or systems.,4.A.2.a.4.e,"Evaluate designs, specifications, or other technical data.",4.A.2.a.4,Analyzing Data or Information
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1345,Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles.,Core,63.0,10,4.A.4.b.4.g.1,Direct quality control activities.,4.A.4.b.4.g,Manage control systems or activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1344,Evaluate and approve selection of vendors by studying past performance or new advertisements.,Supplemental,58.0,13,4.A.1.a.1.f.1,Gather organizational performance information.,4.A.1.a.1.f,Gather data about operational or development activities.,4.A.1.a.1,Getting Information
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1344,Evaluate and approve selection of vendors by studying past performance or new advertisements.,Supplemental,58.0,13,4.A.2.b.1.c.4,Approve expenditures.,4.A.2.b.1.c,Authorize business activities or transactions.,4.A.2.b.1,Making Decisions and Solving Problems
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,19604,Research new materials to determine quality or conformance to environmental standards.,Supplemental,53.0,14,4.A.1.a.2.b.16,Monitor operational procedures in technical environments to ensure conformance to standards.,4.A.1.a.2.b,Monitor operations to ensure adequate performance.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,19604,Research new materials to determine quality or conformance to environmental standards.,Supplemental,53.0,14,4.A.2.a.3.b.4,Evaluate plans or specifications to determine technological or environmental implications.,4.A.2.a.3.b,Assess compliance with environmental standards or regulations.,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,19604,Research new materials to determine quality or conformance to environmental standards.,Supplemental,53.0,14,4.A.2.a.4.i.2,Analyze environmental regulations to ensure organizational compliance.,4.A.2.a.4.i,Assess characteristics or impacts of regulations or policies.,4.A.2.a.4,Analyzing Data or Information
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,1,1001450,Develop and test autonomous systems for uncrewed aerospace vehicles.,New,,15,,,,,,
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5336,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Core,76.0,1,4.A.2.b.2.o.18,Create graphical representations of mechanical equipment.,4.A.2.b.2.o,Create visual designs or displays.,4.A.2.b.2,Thinking Creatively
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5336,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Core,76.0,1,4.A.3.b.6.g.3,Prepare proposal documents.,4.A.3.b.6.g,Prepare proposals or grant applications.,4.A.3.b.6,Documenting/Recording Information
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5336,"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Core,76.0,1,4.A.3.b.6.i.2,Document technical design details.,4.A.3.b.6.i,"Document technical designs, procedures, or activities.",4.A.3.b.6,Documenting/Recording Information
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5325,"Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.",Core,74.0,2,4.A.1.a.1.j.3,Investigate the environmental impact of projects.,4.A.1.a.1.j,Investigate the environmental impact of industrial or development activities.,4.A.1.a.1,Getting Information
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5325,"Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.",Core,74.0,2,4.A.4.b.1.a.2,Confer with other personnel to resolve design or operational problems.,4.A.4.b.1.a,Coordinate with others to resolve problems.,4.A.4.b.1,Coordinating the Work and Activities of Others
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5337,"Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs.",Core,70.0,3,4.A.4.a.2.j.6,Discuss designs or plans with clients.,4.A.4.a.2.j,Confer with clients to determine needs or order specifications.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5335,Design food processing plants and related mechanical systems.,Supplemental,66.0,13,4.A.3.b.2.c.1,Design industrial processing systems.,4.A.3.b.2.c,Design industrial systems or equipment.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5331,"Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.",Core,66.0,4,4.A.4.a.2.j.6,Discuss designs or plans with clients.,4.A.4.a.2.j,Confer with clients to determine needs or order specifications.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5331,"Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.",Core,66.0,4,4.A.4.b.1.c.2,"Communicate technical information to suppliers, contractors, or regulatory agencies.",4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5327,Test agricultural machinery and equipment to ensure adequate performance.,Core,66.0,5,4.A.1.b.2.l.2,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",4.A.1.b.2.l,Test performance of equipment or systems.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5334,"Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.",Core,65.0,6,4.A.2.b.6.b.7,Prepare detailed work plans.,4.A.2.b.6.b,Plan work activities.,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5329,"Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.",Core,65.0,7,4.A.4.b.6.c.2,Advise others regarding green practices or environmental concerns.,4.A.4.b.6.c,Advise others on environmental sustainability or green practices.,4.A.4.b.6,Providing Consultation and Advice to Others
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5328,"Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.",Core,64.0,8,4.A.3.b.2.b.4,Design structures or facilities.,4.A.3.b.2.b,Design structures or facilities.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5328,"Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.",Core,64.0,8,4.A.4.b.4.i.3,Direct construction activities.,4.A.4.b.4.i,Direct construction or extraction activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5330,Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.,Core,63.0,9,4.A.4.b.3.d.2,Train personnel on proper operational procedures.,4.A.4.b.3.d,Train others on operational or work procedures.,4.A.4.b.3,Training and Teaching Others
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5338,"Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.",Core,63.0,10,4.A.3.b.2.e.3,Design electronic or computer equipment or instrumentation.,4.A.3.b.2.e,Design electrical or electronic systems or equipment.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5326,"Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.",Core,61.0,11,4.A.2.b.2.o.18,Create graphical representations of mechanical equipment.,4.A.2.b.2.o,Create visual designs or displays.,4.A.2.b.2,Thinking Creatively
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5332,Supervise food processing or manufacturing plant operations.,Supplemental,60.0,14,4.A.4.b.4.j.24,Direct industrial production activities.,4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5333,Design and supervise environmental and land reclamation projects in agriculture and related industries.,Core,57.0,12,4.A.2.b.2.q.5,Develop operational methods or processes that use green materials or emphasize sustainability.,4.A.2.b.2.q,Develop sustainable organizational or business policies or practices.,4.A.2.b.2,Thinking Creatively
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,5333,Design and supervise environmental and land reclamation projects in agriculture and related industries.,Core,57.0,12,4.A.4.b.4.j.2,Direct environmental development activities.,4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,1001420,Communicate results in peer-reviewed research articles or at workshops or conferences.,New,,15,,,,,,
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,1,1001451,"Use agricultural drones for crop monitoring, irrigation management, and pest control.",New,,16,,,,,,
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8968,"Evaluate the safety, efficiency, and effectiveness of biomedical equipment.",Core,84.0,1,4.A.2.a.1.g.7,Evaluate characteristics of equipment or systems.,4.A.2.a.1.g,"Evaluate the characteristics, usefulness, or performance of products or technologies.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21856,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",Core,82.0,2,4.A.3.b.6.c.9,Prepare technical reports for internal use.,4.A.3.b.6.c,Present research or technical information.,4.A.3.b.6,Documenting/Recording Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21856,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",Core,82.0,2,4.A.3.b.6.m.6,"Prepare contracts, disclosures, or applications.",4.A.3.b.6.m,"Prepare documentation for contracts, applications, or permits.",4.A.3.b.6,Documenting/Recording Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21847,"Design or develop medical diagnostic or clinical instrumentation, equipment, or procedures, using the principles of engineering and biobehavioral sciences.",Core,80.0,3,4.A.2.b.2.k.4,Design medical devices or appliances.,4.A.2.b.2.k,Design materials or devices.,4.A.2.b.2,Thinking Creatively
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8975,"Conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals.",Core,78.0,4,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8979,Adapt or design computer hardware or software for medical science uses.,Core,77.0,5,4.A.2.b.2.b.1,Develop software or computer applications.,4.A.2.b.2.b,Design computer or information systems or applications.,4.A.2.b.2,Thinking Creatively
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21851,"Develop statistical models or simulations, using statistical or modeling software.",Core,73.0,7,4.A.3.b.2.d.1,Create models of engineering designs or methods.,4.A.3.b.2.d,"Develop models of systems, processes, or products.",4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21853,Maintain databases of experiment characteristics or results.,Core,73.0,6,4.A.3.b.6.h.21,Maintain operational records or records systems.,4.A.3.b.6.h,Maintain operational records.,4.A.3.b.6,Documenting/Recording Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8973,Develop models or computer simulations of human biobehavioral systems to obtain data for measuring or controlling life processes.,Core,72.0,10,4.A.3.b.2.d.1,Create models of engineering designs or methods.,4.A.3.b.2.d,"Develop models of systems, processes, or products.",4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21854,"Manage teams of engineers by creating schedules, tracking inventory, creating or using budgets, or overseeing contract obligations or deadlines.",Core,72.0,9,4.A.4.b.4.a.2,Supervise engineering or other technical personnel.,4.A.4.b.4.a,Supervise personnel activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21857,"Read current scientific or trade literature to stay abreast of scientific, industrial, or technological advances.",Core,72.0,8,4.A.2.b.3.a.20,Update technical knowledge.,4.A.2.b.3.a,Maintain current knowledge in area of expertise.,4.A.2.b.3,Updating and Using Relevant Knowledge
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21846,"Design or conduct follow-up experimentation, based on generated data, to meet established process objectives.",Core,68.0,11,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,18604,"Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment.",Core,66.0,12,4.A.3.b.6.i.1,Prepare procedural documents.,4.A.3.b.6.i,"Document technical designs, procedures, or activities.",4.A.3.b.6,Documenting/Recording Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21841,Communicate with bioregulatory authorities regarding licensing or compliance responsibilities.,Core,64.0,13,4.A.4.b.1.c.2,"Communicate technical information to suppliers, contractors, or regulatory agencies.",4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21850,Develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.,Core,64.0,14,4.A.3.b.2.f.14,Develop technical methods or processes.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21840,"Collaborate with manufacturing or quality assurance staff to prepare product specification or safety sheets, standard operating procedures, user manuals, or qualification and validation reports.",Core,63.0,15,4.A.4.a.2.h.3,Confer with technical personnel to prepare designs or operational plans.,4.A.4.a.2.h,Communicate with others about specifications or project details.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8980,Analyze new medical procedures to forecast likely outcomes.,Supplemental,62.0,24,4.A.2.a.4.g.3,"Analyze operational data to evaluate operations, processes or products.",4.A.2.a.4.g,Analyze data to improve operations.,4.A.2.a.4,Analyzing Data or Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8972,"Research new materials to be used for products, such as implanted artificial organs.",Core,60.0,16,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21844,Consult with chemists or biologists to develop or evaluate novel technologies.,Core,59.0,18,4.A.4.a.2.h.3,Confer with technical personnel to prepare designs or operational plans.,4.A.4.a.2.h,Communicate with others about specifications or project details.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21845,"Design and deliver technology, such as prosthetic devices, to assist people with disabilities.",Supplemental,59.0,25,4.A.2.b.2.k.4,Design medical devices or appliances.,4.A.2.b.2.k,Design materials or devices.,4.A.2.b.2,Thinking Creatively
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21855,"Prepare project plans for equipment or facility improvements, including time lines, budgetary estimates, or capital spending requests.",Core,59.0,17,4.A.1.b.3.b.4,Estimate operational costs.,4.A.1.b.3.b,Estimate project development or operational costs.,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21855,"Prepare project plans for equipment or facility improvements, including time lines, budgetary estimates, or capital spending requests.",Core,59.0,17,4.A.2.b.1.h.10,Estimate time requirements for development or production projects.,4.A.2.b.1.h,Determine resource needs of projects or operations.,4.A.2.b.1,Making Decisions and Solving Problems
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21855,"Prepare project plans for equipment or facility improvements, including time lines, budgetary estimates, or capital spending requests.",Core,59.0,17,4.A.2.b.6.b.7,Prepare detailed work plans.,4.A.2.b.6.b,Plan work activities.,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21843,Confer with research and biomanufacturing personnel to ensure the compatibility of design and production.,Core,56.0,19,4.A.4.a.2.h.3,Confer with technical personnel to prepare designs or operational plans.,4.A.4.a.2.h,Communicate with others about specifications or project details.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21858,"Recommend process formulas, instrumentation, or equipment specifications, based on results of bench or pilot experimentation.",Core,55.0,20,4.A.4.b.6.e.9,"Recommend technical design or process changes to improve efficiency, quality, or performance.",4.A.4.b.6.e,Advise others on business or operational matters.,4.A.4.b.6,Providing Consultation and Advice to Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21842,"Communicate with suppliers regarding the design or specifications of bioproduction equipment, instrumentation, or materials.",Core,52.0,21,4.A.4.b.1.c.2,"Communicate technical information to suppliers, contractors, or regulatory agencies.",4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,18603,Conduct training or in-services to educate clinicians and other personnel on proper use of equipment.,Core,51.0,22,4.A.4.b.3.d.2,Train personnel on proper operational procedures.,4.A.4.b.3.d,Train others on operational or work procedures.,4.A.4.b.3,Training and Teaching Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,8970,"Advise hospital administrators on the planning, acquisition, and use of medical equipment.",Core,50.0,23,4.A.4.b.6.b.3,Advise customers on the use of products or services.,4.A.4.b.6.b,Advise others on products or services.,4.A.4.b.6,Providing Consultation and Advice to Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21839,"Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes.",Supplemental,50.0,26,4.A.4.b.6.e.9,"Recommend technical design or process changes to improve efficiency, quality, or performance.",4.A.4.b.6.e,Advise others on business or operational matters.,4.A.4.b.6,Providing Consultation and Advice to Others
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21859,Review existing manufacturing processes to identify opportunities for yield improvement or reduced process variation.,Supplemental,47.0,27,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21849,"Develop bioremediation processes to reduce pollution, protect the environment, or treat waste products.",Supplemental,44.0,28,4.A.2.b.2.q.5,Develop operational methods or processes that use green materials or emphasize sustainability.,4.A.2.b.2.q,Develop sustainable organizational or business policies or practices.,4.A.2.b.2,Thinking Creatively
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21852,Lead studies to examine or recommend changes in process sequences or operation protocols.,Supplemental,44.0,29,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,1,21848,Design or direct bench or pilot production experiments to determine the scale of production methods that optimize product yield and minimize production costs.,Supplemental,41.0,30,4.A.2.b.2.s.1,Devise research or testing protocols.,4.A.2.b.2.s,Develop research plans or methodologies.,4.A.2.b.2,Thinking Creatively
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3552,Develop safety procedures to be employed by workers operating equipment or working in close proximity to ongoing chemical reactions.,Core,86.0,1,4.A.2.b.2.e.2,"Develop safety standards, policies, or procedures.",4.A.2.b.2.e,"Develop safety standards, policies, or procedures.",4.A.2.b.2,Thinking Creatively
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,18471,Troubleshoot problems with chemical manufacturing processes.,Core,82.0,2,4.A.2.b.1.b.1,Determine causes of operational problems or failures.,4.A.2.b.1.b,Diagnose system or equipment problems.,4.A.2.b.1,Making Decisions and Solving Problems
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,20955,Monitor and analyze data from processes and experiments.,Core,81.0,3,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,18472,Evaluate chemical equipment and processes to identify ways to optimize performance or to ensure compliance with safety and environmental regulations.,Core,79.0,4,4.A.2.a.1.g.7,Evaluate characteristics of equipment or systems.,4.A.2.a.1.g,"Evaluate the characteristics, usefulness, or performance of products or technologies.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3560,Design and plan layout of equipment.,Core,69.0,5,4.A.3.b.2.c.1,Design industrial processing systems.,4.A.3.b.2.c,Design industrial systems or equipment.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3554,Prepare estimate of production costs and production progress reports for management.,Core,68.0,6,4.A.1.b.3.b.4,Estimate operational costs.,4.A.1.b.3.b,Estimate project development or operational costs.,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3554,Prepare estimate of production costs and production progress reports for management.,Core,68.0,6,4.A.3.b.6.o.4,Prepare operational reports.,4.A.3.b.6.o,Prepare reports of operational or procedural activities.,4.A.3.b.6,Documenting/Recording Information
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3558,Conduct research to develop new and improved chemical manufacturing processes.,Core,65.0,8,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,18473,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.",Core,65.0,7,4.A.1.a.2.b.15,Monitor the productivity or efficiency of industrial operations.,4.A.1.a.2.b,Monitor operations to ensure adequate performance.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,18473,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.",Core,65.0,7,4.A.1.b.2.g.9,Conduct validation tests of equipment or processes.,4.A.1.b.2.g,"Inspect commercial, industrial, or production systems or equipment.",4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3553,"Determine most effective arrangement of operations such as mixing, crushing, heat transfer, distillation, and drying.",Core,60.0,9,4.A.2.b.1.d.3,Determine operational methods.,4.A.2.b.1.d,Determine operational methods or procedures.,4.A.2.b.1,Making Decisions and Solving Problems
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3557,"Develop processes to separate components of liquids or gases or generate electrical currents, using controlled chemical processes.",Core,59.0,10,4.A.3.b.2.f.14,Develop technical methods or processes.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3559,Design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.,Core,57.0,11,4.A.3.b.2.c.6,Design control systems for mechanical or other equipment.,4.A.3.b.2.c,Design industrial systems or equipment.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3556,"Perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant.",Core,57.0,12,4.A.1.a.1.i.2,Research industrial processes or operations.,4.A.1.a.1.i,"Research organizational behavior, processes, or performance.",4.A.1.a.1,Getting Information
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,3556,"Perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant.",Core,57.0,12,4.A.1.b.2.g.9,Conduct validation tests of equipment or processes.,4.A.1.b.2.g,"Inspect commercial, industrial, or production systems or equipment.",4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,24003,Develop computer models of chemical processes.,Core,52.0,13,4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.t,Research technology designs or applications.,4.A.1.a.1,Getting Information
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,0,24003,Develop computer models of chemical processes.,Core,52.0,13,4.A.2.b.2.b.3,Design computer modeling or simulation programs.,4.A.2.b.2.b,Design computer or information systems or applications.,4.A.2.b.2,Thinking Creatively
