onet_soc_code,occupation_title,task_id,task,task_category,importance,n_subtasks_scored,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,dominant_verdict
15-1299.06,Digital Forensics Analysts,21800,Recommend cyber defense software or hardware to support responses to cyber incidents.,Supplemental,47.0,2,42.5,85.0,11.0,41.5,51.0,37.5,36.5,largely_automatable
15-1299.06,Digital Forensics Analysts,21801,Recover data or decrypt seized data.,Core,78.0,1,70.0,95.0,5.0,30.0,35.0,35.0,40.0,largely_automatable
15-1299.06,Digital Forensics Analysts,21802,"Write and execute scripts to automate tasks, such as parsing large data files.",Supplemental,49.0,2,70.0,90.0,6.0,10.0,35.0,30.0,37.5,augmentable
15-1299.06,Digital Forensics Analysts,21803,"Write cyber defense recommendations, reports, or white papers using research or experience.",Core,54.0,2,34.0,85.0,7.5,37.5,57.5,55.0,47.5,augmentable
15-1299.06,Digital Forensics Analysts,21804,"Write reports, sign affidavits, or give depositions for legal proceedings.",Core,88.0,2,18.5,62.5,37.5,50.0,60.0,81.5,69.0,augmentable
15-1299.06,Digital Forensics Analysts,21805,Write technical summaries to report findings.,Core,82.0,1,35.0,85.0,5.0,30.0,55.0,65.0,50.0,augmentable
15-1299.07,Blockchain Engineers,21806,"Assess blockchain threats, such as untested code and unprotected keys.",Core,88.0,1,50.0,80.0,8.0,15.0,60.0,65.0,75.0,augmentable
15-1299.07,Blockchain Engineers,21807,Automate the deployment of software updates over geographically distributed network nodes.,Core,77.0,1,55.0,95.0,2.0,15.0,50.0,40.0,45.0,augmentable
15-1299.07,Blockchain Engineers,21808,"Design and deploy blockchain design patterns to make transactions secure, transparent, and immutable.",Core,85.0,2,33.5,72.5,17.5,37.5,65.0,67.5,72.5,augmentable
15-1299.07,Blockchain Engineers,21809,Design and develop blockchain technologies for industries such as finance and music.,Core,65.0,1,25.0,75.0,25.0,40.0,65.0,60.0,65.0,augmentable
15-1299.07,Blockchain Engineers,21810,Design and implement dashboard and data visualizations to meet customer reporting needs.,Core,64.0,2,58.5,67.5,12.5,26.0,43.0,35.0,40.0,augmentable
15-1299.07,Blockchain Engineers,21811,Design and implement data repositories to integrate data.,Core,72.0,1,62.0,88.0,3.0,15.0,25.0,25.0,35.0,largely_automatable
15-1299.07,Blockchain Engineers,21812,Design and verify cryptographic protocols to protect private information.,Core,83.0,1,25.0,88.0,5.0,38.0,60.0,70.0,70.0,augmentable
15-1299.07,Blockchain Engineers,21813,"Determine specifications for, or implement, logging.",Core,68.0,1,30.0,82.0,6.0,35.0,48.0,58.0,52.0,augmentable
15-1299.07,Blockchain Engineers,21814,"Develop a maintainable code base using object-oriented design principles, practices, or patterns.",Core,75.0,1,55.0,95.0,2.0,15.0,50.0,40.0,45.0,augmentable
15-1299.07,Blockchain Engineers,21815,"Discuss and plan systems with solution architects, system engineers, or cybersecurity experts to meet customer requirements.",Core,92.0,1,25.0,75.0,15.0,70.0,50.0,35.0,40.0,augmentable
15-1299.07,Blockchain Engineers,21816,"Discuss data needs with engineers, product managers, or data scientists to identify blockchain requirements.",Core,77.0,1,25.0,75.0,15.0,70.0,50.0,35.0,40.0,augmentable
15-1299.07,Blockchain Engineers,21817,Evaluate blockchain processes or risks based on security assessments or control matrix reviews.,Core,80.0,1,35.0,88.0,10.0,25.0,60.0,35.0,40.0,augmentable
15-1299.07,Blockchain Engineers,21818,Evaluate new blockchain technologies and vendor products.,Core,65.0,1,30.0,85.0,22.0,25.0,72.0,45.0,45.0,augmentable
15-1299.07,Blockchain Engineers,21819,Implement catastrophic failure handlers to identify security breaches and prevent serious damage.,Core,91.0,1,42.0,70.0,10.0,35.0,65.0,75.0,80.0,augmentable
15-1299.07,Blockchain Engineers,21820,Run infrastructure tests to examine the behavior of large peer-to-peer networks.,Core,77.0,1,72.0,70.0,15.0,5.0,35.0,35.0,45.0,largely_automatable
15-1299.07,Blockchain Engineers,21821,Test the security and performance of blockchain infrastructures.,Core,91.0,1,72.0,70.0,15.0,5.0,35.0,35.0,45.0,largely_automatable
15-1299.07,Blockchain Engineers,21822,Update client and server applications responsible for integration and business logic.,Core,74.0,1,42.0,72.0,48.0,25.0,38.0,38.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14666,Communicate with staff or clients to understand specific system requirements.,Core,81.0,1,20.0,72.0,15.0,78.0,58.0,45.0,50.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14667,"Provide advice on project costs, design concepts, or design changes.",Core,61.0,1,33.0,85.0,10.0,45.0,60.0,45.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14668,"Document design specifications, installation instructions, and other system-related information.",Core,68.0,1,40.0,88.0,5.0,35.0,42.0,52.0,55.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14669,"Verify stability, interoperability, portability, security, or scalability of system architecture.",Core,74.0,1,72.0,70.0,15.0,5.0,35.0,35.0,45.0,largely_automatable
15-1299.08,Computer Systems Engineers/Architects,14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Core,70.0,2,22.5,72.0,13.5,79.0,55.0,46.5,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14671,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",Core,61.0,1,35.0,88.0,10.0,25.0,60.0,35.0,40.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14672,Provide technical guidance or support for the development or troubleshooting of systems.,Core,66.0,1,55.0,90.0,10.0,40.0,40.0,28.0,30.0,largely_automatable
15-1299.08,Computer Systems Engineers/Architects,14673,"Identify system data, hardware, or software components required to meet user needs.",Core,74.0,1,35.0,80.0,5.0,35.0,60.0,45.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14674,Provide customers or installation teams guidelines for implementing secure systems.,Core,80.0,1,28.0,85.0,10.0,40.0,55.0,45.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14675,Monitor system operation to detect potential problems.,Core,77.0,1,80.0,65.0,10.0,8.0,30.0,30.0,50.0,largely_automatable
15-1299.08,Computer Systems Engineers/Architects,14676,"Direct the analysis, development, and operation of complete computer systems.",Core,79.0,1,15.0,65.0,10.0,65.0,60.0,70.0,55.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14677,"Investigate system component suitability for specified purposes, and make recommendations regarding component use.",Core,80.0,2,34.0,86.5,10.0,35.0,60.0,40.0,42.5,augmentable
15-1299.08,Computer Systems Engineers/Architects,14678,"Perform ongoing hardware and software maintenance operations, including installing or upgrading hardware or software.",Core,74.0,3,38.3,36.7,65.0,16.3,22.7,29.0,34.3,resistant
15-1299.08,Computer Systems Engineers/Architects,14679,Configure servers to meet functional specifications.,Core,73.0,1,60.0,75.0,25.0,15.0,40.0,45.0,60.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14680,"Develop or approve project plans, schedules, or budgets.",Core,60.0,1,35.0,85.0,5.0,40.0,55.0,50.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Core,66.0,1,15.0,72.0,4.0,70.0,75.0,80.0,58.0,human_anchored
15-1299.08,Computer Systems Engineers/Architects,14682,"Develop system engineering, software engineering, system integration, or distributed system architectures.",Core,65.0,1,25.0,75.0,25.0,40.0,65.0,60.0,65.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14683,Design and conduct hardware or software tests.,Core,68.0,2,71.0,67.5,20.0,7.5,35.0,25.0,35.0,largely_automatable
15-1299.08,Computer Systems Engineers/Architects,14684,"Establish functional or system standards to address operational requirements, quality requirements, and design constraints.",Core,65.0,1,35.0,85.0,3.0,48.0,60.0,50.0,45.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14685,"Evaluate existing systems to determine effectiveness, and suggest changes to meet organizational requirements.",Core,68.0,2,34.0,86.5,10.0,35.0,60.0,40.0,42.5,augmentable
15-1299.08,Computer Systems Engineers/Architects,14686,"Research, test, or verify proper functioning of software patches and fixes.",Core,73.0,2,53.5,76.0,22.5,10.0,45.0,35.0,40.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14687,"Communicate project information through presentations, technical reports, or white papers.",Core,59.0,2,47.5,88.5,5.0,30.0,40.0,40.0,35.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14688,"Complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",Core,56.0,2,36.0,86.5,5.0,21.0,55.0,42.5,50.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14689,"Direct the installation of operating systems, network or application software, or computer or network hardware.",Core,77.0,1,32.0,62.0,42.0,52.0,45.0,55.0,52.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14690,Train system users in system operation or maintenance.,Core,57.0,1,65.0,92.0,8.0,45.0,20.0,15.0,15.0,largely_automatable
15-1299.08,Computer Systems Engineers/Architects,14691,Perform security analyses of developed or packaged software components.,Core,67.0,1,50.0,80.0,8.0,15.0,60.0,65.0,75.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14692,Develop application-specific software.,Supplemental,52.0,1,32.0,85.0,5.0,40.0,68.0,45.0,50.0,augmentable
15-1299.08,Computer Systems Engineers/Architects,14693,Develop efficient and effective system controllers.,Core,52.0,1,32.0,85.0,5.0,40.0,68.0,45.0,50.0,augmentable
15-1299.09,Information Technology Project Managers,16151,Perform risk assessments to develop response strategies.,Core,76.0,1,50.0,80.0,8.0,15.0,60.0,65.0,75.0,augmentable
15-1299.09,Information Technology Project Managers,16152,"Submit project deliverables, ensuring adherence to quality standards.",Core,81.0,2,38.5,64.0,40.0,20.0,50.0,45.0,47.5,augmentable
15-1299.09,Information Technology Project Managers,16153,"Monitor the performance of project team members, providing and documenting performance feedback.",Core,71.0,1,10.0,45.0,12.0,82.0,58.0,78.0,55.0,human_anchored
15-1299.09,Information Technology Project Managers,16154,Confer with project personnel to identify and resolve problems.,Core,85.0,1,30.0,75.0,20.0,60.0,50.0,45.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16155,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",Core,80.0,1,55.0,80.0,10.0,50.0,40.0,15.0,20.0,augmentable
15-1299.09,Information Technology Project Managers,16156,Schedule and facilitate meetings related to information technology projects.,Core,79.0,1,15.0,65.0,10.0,65.0,60.0,70.0,55.0,augmentable
15-1299.09,Information Technology Project Managers,16157,Monitor or track project milestones and deliverables.,Core,82.0,1,70.0,88.0,2.0,12.0,45.0,58.0,58.0,largely_automatable
15-1299.09,Information Technology Project Managers,16158,Negotiate with project stakeholders or suppliers to obtain resources or materials.,Core,68.0,1,45.0,78.0,15.0,50.0,45.0,55.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16159,"Initiate, review, or approve modifications to project plans.",Core,80.0,1,35.0,85.0,5.0,40.0,55.0,50.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16160,"Identify, review, or select vendors or consultants to meet project needs.",Core,74.0,1,12.0,50.0,5.0,65.0,72.0,75.0,52.0,human_anchored
15-1299.09,Information Technology Project Managers,16161,Establish and execute a project communication plan.,Core,73.0,1,25.0,85.0,8.0,40.0,45.0,35.0,35.0,augmentable
15-1299.09,Information Technology Project Managers,16162,Identify need for initial or supplemental project resources.,Core,76.0,1,35.0,80.0,5.0,35.0,60.0,45.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16163,Direct or coordinate activities of project personnel.,Core,78.0,2,12.5,55.0,11.0,73.5,59.0,74.0,55.0,human_anchored
15-1299.09,Information Technology Project Managers,16164,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,Core,76.0,1,28.0,85.0,10.0,40.0,55.0,45.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16165,Coordinate recruitment or selection of project personnel.,Core,71.0,1,12.0,50.0,5.0,65.0,72.0,75.0,52.0,human_anchored
15-1299.09,Information Technology Project Managers,16166,Develop and manage annual budgets for information technology projects.,Core,74.0,1,25.0,70.0,5.0,50.0,65.0,78.0,58.0,augmentable
15-1299.09,Information Technology Project Managers,16167,"Assign duties, responsibilities, and spans of authority to project personnel.",Core,70.0,1,42.0,65.0,10.0,68.0,42.0,55.0,40.0,augmentable
15-1299.09,Information Technology Project Managers,16168,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Core,75.0,2,55.0,92.0,2.5,12.5,49.0,40.0,37.5,largely_automatable
15-1299.09,Information Technology Project Managers,16169,"Manage project execution to ensure adherence to budget, schedule, and scope.",Core,87.0,1,15.0,65.0,10.0,65.0,60.0,70.0,55.0,augmentable
15-1299.09,Information Technology Project Managers,16170,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Core,76.0,1,35.0,85.0,5.0,40.0,55.0,50.0,45.0,augmentable
15-1299.09,Information Technology Project Managers,16171,Develop and manage work breakdown structure (WBS) of information technology projects.,Core,73.0,2,25.0,75.0,7.5,52.5,57.5,60.0,50.0,augmentable
15-2011.00,Actuaries,3501,"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.",Core,86.0,1,40.0,82.0,5.0,15.0,60.0,70.0,65.0,augmentable
15-2011.00,Actuaries,3502,"Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.",Core,84.0,1,15.0,65.0,5.0,60.0,70.0,92.0,80.0,human_anchored
15-2011.00,Actuaries,3503,"Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.",Core,80.0,1,30.0,85.0,5.0,70.0,62.0,30.0,32.0,augmentable
15-2011.00,Actuaries,3504,"Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.",Core,74.0,1,15.0,72.0,4.0,70.0,75.0,80.0,58.0,human_anchored
15-2011.00,Actuaries,3505,Testify before public agencies on proposed legislation affecting businesses.,Core,52.0,1,2.0,40.0,70.0,70.0,65.0,98.0,88.0,human_anchored
15-2011.00,Actuaries,3506,"Provide advice to clients on a contract basis, working as a consultant.",Core,76.0,2,40.0,87.5,10.0,47.5,55.0,56.5,50.0,largely_automatable
15-2011.00,Actuaries,3507,Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.,Supplemental,35.0,1,2.0,40.0,70.0,70.0,65.0,98.0,88.0,human_anchored
15-2011.00,Actuaries,3508,"Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.",Core,67.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2011.00,Actuaries,3509,Determine policy contract provisions for each type of insurance.,Core,64.0,1,15.0,65.0,5.0,60.0,70.0,92.0,80.0,human_anchored
15-2011.00,Actuaries,3510,Manage credit and help price corporate security offerings.,Supplemental,43.0,1,15.0,65.0,5.0,60.0,70.0,92.0,80.0,human_anchored
15-2011.00,Actuaries,3511,Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.,Core,63.0,1,15.0,65.0,5.0,60.0,70.0,92.0,80.0,human_anchored
15-2011.00,Actuaries,3512,Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.,Core,66.0,1,15.0,65.0,5.0,60.0,70.0,92.0,80.0,human_anchored
15-2011.00,Actuaries,3513,Explain changes in contract provisions to customers.,Supplemental,58.0,1,55.0,85.0,20.0,62.0,35.0,30.0,30.0,augmentable
15-2011.00,Actuaries,20951,Negotiate terms and conditions of reinsurance with other companies.,Core,59.0,1,25.0,75.0,8.0,80.0,70.0,75.0,60.0,augmentable
15-2011.00,Actuaries,24015,Analyze data to determine premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.,Core,94.0,3,37.7,80.3,4.3,33.3,62.0,57.3,54.0,augmentable
15-2021.00,Mathematicians,7367,"Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.",Core,67.0,1,50.0,86.0,5.0,12.0,55.0,45.0,50.0,augmentable
15-2021.00,Mathematicians,7368,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,Core,56.0,1,45.0,90.0,2.0,15.0,65.0,40.0,45.0,augmentable
15-2021.00,Mathematicians,7369,"Maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences.",Core,81.0,1,50.0,92.0,3.0,18.0,55.0,25.0,30.0,augmentable
15-2021.00,Mathematicians,7370,Perform computations and apply methods of numerical analysis to data.,Core,74.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2021.00,Mathematicians,7371,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,Core,67.0,1,30.0,85.0,5.0,20.0,60.0,45.0,55.0,augmentable
15-2021.00,Mathematicians,7372,"Assemble sets of assumptions, and explore the consequences of each set.",Core,75.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2021.00,Mathematicians,7373,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Core,72.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2021.00,Mathematicians,7374,Develop new principles and new relationships between existing mathematical principles to advance mathematical science.,Core,78.0,1,35.0,88.0,6.0,12.0,75.0,45.0,45.0,augmentable
15-2021.00,Mathematicians,7375,"Design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code.",Supplemental,44.0,2,37.5,84.0,6.5,26.5,60.0,67.5,72.5,augmentable
15-2021.00,Mathematicians,7376,"Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.",Core,70.0,2,40.0,88.5,5.5,14.0,40.0,37.5,35.0,augmentable
15-2021.00,Mathematicians,20191,"Disseminate research by writing reports, publishing papers, or presenting at professional conferences.",Core,78.0,2,28.5,76.0,13.5,45.0,47.5,52.5,37.5,human_anchored
15-2021.00,Mathematicians,24002,Mentor others on mathematical techniques.,Core,81.0,2,21.5,67.5,25.0,70.0,55.0,45.0,37.5,resistant
15-2031.00,Operations Research Analysts,7377,"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",Core,85.0,1,35.0,88.0,6.0,12.0,75.0,45.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7378,Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.,Core,86.0,1,30.0,75.0,20.0,60.0,50.0,45.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7379,Analyze information obtained from management to conceptualize and define operational problems.,Core,83.0,1,48.0,85.0,10.0,25.0,62.0,40.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7380,"Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.",Core,88.0,1,35.0,88.0,6.0,12.0,75.0,45.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7381,Collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.,Core,81.0,1,30.0,75.0,20.0,60.0,50.0,45.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7382,"Define data requirements, and gather and validate information, applying judgment and statistical tests.",Core,89.0,3,50.0,85.3,4.0,12.3,56.7,40.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7383,Study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,Core,82.0,1,42.0,82.0,10.0,32.0,58.0,50.0,48.0,augmentable
15-2031.00,Operations Research Analysts,7384,Prepare management reports defining and evaluating problems and recommending solutions.,Core,88.0,1,65.0,75.0,15.0,10.0,25.0,40.0,35.0,largely_automatable
15-2031.00,Operations Research Analysts,7385,"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them.",Core,68.0,2,57.5,89.0,4.0,11.0,51.5,37.5,42.5,augmentable
15-2031.00,Operations Research Analysts,7386,Specify manipulative or computational methods to be applied to models.,Core,76.0,1,45.0,90.0,2.0,15.0,65.0,40.0,45.0,augmentable
15-2031.00,Operations Research Analysts,7387,"Observe the current system in operation, and gather and analyze information about each of the component problems, using a variety of sources.",Core,85.0,2,37.5,83.5,22.5,25.0,57.5,35.0,40.0,augmentable
15-2031.00,Operations Research Analysts,7388,"Design, conduct, and evaluate experimental operational models in cases where models cannot be developed from existing data.",Core,74.0,1,30.0,85.0,5.0,20.0,60.0,45.0,55.0,augmentable
15-2031.00,Operations Research Analysts,7389,"Develop and apply time and cost networks to plan, control, and review large projects.",Core,70.0,2,30.0,77.5,5.0,45.0,60.0,64.0,51.5,augmentable
15-2031.00,Operations Research Analysts,7390,"Develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules.",Core,64.0,1,30.0,85.0,8.0,50.0,65.0,45.0,45.0,augmentable
15-2031.00,Operations Research Analysts,20952,Present the results of mathematical modeling and data analysis to management or other end users.,Core,91.0,1,12.0,60.0,25.0,75.0,45.0,55.0,35.0,human_anchored
15-2031.00,Operations Research Analysts,20953,Educate staff in the use of mathematical models.,Core,66.0,1,28.0,62.0,45.0,68.0,35.0,35.0,30.0,augmentable
15-2031.00,Operations Research Analysts,23986,Review research literature.,Core,63.0,1,55.0,92.0,3.0,8.0,40.0,30.0,30.0,augmentable
15-2041.00,Statisticians,8953,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",Core,88.0,2,57.5,88.5,3.5,12.5,40.0,35.0,30.0,largely_automatable
15-2041.00,Statisticians,8954,"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Core,76.0,1,58.0,90.0,3.0,10.0,40.0,30.0,40.0,augmentable
15-2041.00,Statisticians,8955,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Core,83.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2041.00,Statisticians,8956,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Core,92.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2041.00,Statisticians,8957,"Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data.",Core,87.0,2,56.5,85.0,4.0,10.0,45.0,32.5,40.0,augmentable
15-2041.00,Statisticians,8958,"Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy.",Core,92.0,2,31.5,80.0,11.0,22.5,68.5,57.5,57.5,augmentable
15-2041.00,Statisticians,8959,"Evaluate sources of information to determine any limitations, in terms of reliability or usability.",Core,78.0,1,55.0,80.0,5.0,10.0,50.0,35.0,40.0,augmentable
15-2041.00,Statisticians,8960,"Plan data collection methods for specific projects, and determine the types and sizes of sample groups to be used.",Core,70.0,2,35.0,84.0,7.0,20.0,70.0,51.0,50.0,augmentable
15-2041.00,Statisticians,8961,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",Core,82.0,1,25.0,78.0,12.0,25.0,75.0,62.0,55.0,augmentable
15-2041.00,Statisticians,8963,Supervise and provide instructions for workers collecting and tabulating data.,Core,50.0,1,10.0,45.0,12.0,82.0,58.0,78.0,55.0,human_anchored
15-2041.00,Statisticians,8964,"Apply sampling techniques, or use complete enumeration bases to determine and define groups to be surveyed.",Core,70.0,1,45.0,90.0,2.0,15.0,65.0,40.0,45.0,augmentable
15-2041.00,Statisticians,8965,"Adapt statistical methods to solve specific problems in many fields, such as economics, biology, and engineering.",Core,81.0,1,50.0,86.0,5.0,12.0,55.0,45.0,50.0,augmentable
15-2041.00,Statisticians,8966,"Develop and test experimental designs, sampling techniques, and analytical methods.",Core,85.0,1,25.0,78.0,12.0,25.0,75.0,62.0,55.0,augmentable
15-2041.00,Statisticians,8967,"Examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data.",Core,61.0,1,50.0,92.0,3.0,18.0,55.0,25.0,30.0,augmentable
15-2041.00,Statisticians,20192,Report results of statistical analyses in peer-reviewed papers and technical manuals.,Core,71.0,2,28.5,76.0,13.5,45.0,47.5,52.5,37.5,human_anchored
15-2041.00,Statisticians,20193,Develop software applications or programming for statistical modeling and graphic analysis.,Core,74.0,1,32.0,85.0,5.0,40.0,68.0,45.0,50.0,augmentable
15-2041.00,Statisticians,20194,"Present statistical and nonstatistical results, using charts, bullets, and graphs, in meetings or conferences to audiences such as clients, peers, and students.",Core,82.0,1,12.0,60.0,25.0,75.0,45.0,55.0,35.0,human_anchored
15-2041.00,Statisticians,21100,"Determine whether statistical methods are appropriate, based on user needs or research questions of interest.",Core,88.0,2,37.5,81.0,8.5,20.0,66.5,56.0,56.5,augmentable
15-2041.00,Statisticians,21101,Prepare and structure data warehouses for storing data.,Supplemental,57.0,3,60.7,71.7,10.7,20.7,44.3,46.7,51.7,augmentable
15-2041.01,Biostatisticians,16241,Write research proposals or grant applications for submission to external bodies.,Core,70.0,1,45.0,92.0,3.0,30.0,55.0,55.0,40.0,augmentable
15-2041.01,Biostatisticians,16242,Teach graduate or continuing education courses or seminars in biostatistics.,Core,57.0,1,65.0,92.0,8.0,45.0,20.0,15.0,15.0,largely_automatable
15-2041.01,Biostatisticians,16243,"Read current literature, attend meetings or conferences, and talk with colleagues to keep abreast of methodological or conceptual developments in fields such as biostatistics, pharmacology, life sciences, and social sciences.",Core,83.0,1,50.0,92.0,3.0,18.0,55.0,25.0,30.0,augmentable
15-2041.01,Biostatisticians,16244,"Prepare statistical data for inclusion in reports to data monitoring committees, federal regulatory agencies, managers, or clients.",Core,79.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2041.01,Biostatisticians,16245,Prepare articles for publication or presentation at professional conferences.,Core,76.0,2,28.5,76.0,13.5,45.0,47.5,52.5,37.5,human_anchored
15-2041.01,Biostatisticians,16246,Calculate sample size requirements for clinical studies.,Core,84.0,1,45.0,90.0,2.0,15.0,65.0,40.0,45.0,augmentable
15-2041.01,Biostatisticians,16247,"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",Core,79.0,1,35.0,85.0,5.0,40.0,55.0,50.0,45.0,augmentable
15-2041.01,Biostatisticians,16248,Assign work to biostatistical assistants or programmers.,Core,63.0,1,42.0,65.0,10.0,68.0,42.0,55.0,40.0,augmentable
15-2041.01,Biostatisticians,16249,Write program code to analyze data with statistical analysis software.,Core,82.0,1,55.0,95.0,2.0,15.0,50.0,40.0,45.0,augmentable
15-2041.01,Biostatisticians,16250,Write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.,Core,85.0,2,28.5,76.0,13.5,45.0,47.5,52.5,37.5,human_anchored
15-2041.01,Biostatisticians,16251,Plan or direct research studies related to life sciences.,Core,76.0,1,25.0,78.0,12.0,25.0,75.0,62.0,55.0,augmentable
15-2041.01,Biostatisticians,16252,Prepare tables and graphs to present clinical data or results.,Core,83.0,1,70.0,85.0,5.0,10.0,30.0,20.0,20.0,largely_automatable
15-2041.01,Biostatisticians,16253,Monitor clinical trials or experiments to ensure adherence to established procedures or to verify the quality of data collected.,Core,74.0,1,30.0,60.0,45.0,38.0,50.0,72.0,62.0,resistant
15-2041.01,Biostatisticians,16254,"Draw conclusions or make predictions, based on data summaries or statistical analyses.",Core,88.0,1,65.0,92.0,3.0,10.0,48.0,30.0,35.0,largely_automatable
15-2041.01,Biostatisticians,16255,"Develop or use mathematical models to track changes in biological phenomena, such as the spread of infectious diseases.",Core,63.0,2,40.0,85.5,5.0,16.0,57.5,45.0,52.5,augmentable
15-2041.01,Biostatisticians,16256,Design surveys to assess health issues.,Core,58.0,1,25.0,78.0,12.0,25.0,75.0,62.0,55.0,augmentable
15-2041.01,Biostatisticians,16257,Develop or implement data analysis algorithms.,Core,79.0,2,50.0,90.0,4.5,11.0,61.5,37.5,40.0,largely_automatable
15-2041.01,Biostatisticians,16258,"Design research studies in collaboration with physicians, life scientists, or other professionals.",Core,83.0,1,25.0,78.0,12.0,25.0,75.0,62.0,55.0,augmentable
