onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,task_coverage,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,share_largely_automatable,share_human_anchored
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,5,29,1.0,33.1,74.5,16.1,54.9,50.7,50.9,38.7,0.069,0.172
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",5,13,1.0,29.1,61.1,39.8,58.0,55.6,75.8,68.4,0.154,0.538
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners",5,20,0.952,12.9,41.4,66.0,54.4,61.5,87.7,80.9,0.0,0.85
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",5,15,0.938,7.9,37.3,79.1,57.5,75.6,94.9,92.0,0.0,1.0
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",5,11,1.0,21.6,53.0,50.9,59.8,57.6,81.8,70.2,0.0,0.818
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",5,12,0.857,14.0,28.6,81.6,57.0,57.0,81.0,71.2,0.0,0.917
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",5,28,1.0,27.0,68.6,29.7,54.6,58.2,69.1,64.2,0.036,0.357
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",5,10,1.0,18.6,58.4,47.4,59.1,65.3,89.1,79.3,0.0,0.7
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",5,21,1.0,30.3,63.2,32.5,44.0,51.1,74.8,69.8,0.143,0.476
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",5,12,0.923,23.2,61.9,39.2,52.5,60.1,85.4,78.0,0.083,0.667
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",5,16,1.0,18.3,38.2,73.9,46.0,52.7,81.8,80.5,0.0,0.75
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",5,11,1.0,19.8,58.0,44.9,55.4,64.3,84.2,75.7,0.0,0.545
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",5,17,0.944,22.7,61.0,38.4,60.8,59.7,75.4,68.1,0.0,0.471
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",5,21,1.0,17.5,59.8,47.7,64.6,60.6,78.4,72.0,0.0,0.714
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",5,24,1.0,25.1,64.0,36.1,58.4,58.2,78.8,71.2,0.042,0.708
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",3,22,1.0,27.4,43.6,58.9,47.6,44.6,78.1,75.4,0.136,0.591
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",4,11,1.0,21.1,66.7,28.5,71.0,65.5,79.8,70.9,0.0,0.727
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners",3,23,1.0,22.1,48.8,59.1,49.9,52.5,81.4,79.2,0.0,0.652
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",5,23,1.0,20.0,64.1,35.1,64.9,62.5,78.7,69.1,0.043,0.609
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",4,25,0.926,27.0,58.3,47.9,54.9,54.9,71.8,67.5,0.0,0.44
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",5,25,0.926,25.7,65.3,29.3,57.7,58.6,72.6,64.4,0.04,0.48
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",4,30,1.0,21.4,64.1,31.6,59.4,63.3,75.5,67.5,0.0,0.633
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",5,21,1.0,17.0,54.8,47.9,50.3,58.2,80.0,72.9,0.0,0.524
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",4,27,1.0,22.7,56.7,44.7,55.4,58.4,81.7,75.3,0.0,0.519
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners",4,27,1.0,20.8,60.5,43.8,55.7,62.6,84.3,79.2,0.074,0.667
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",5,24,0.96,19.0,63.4,36.4,58.3,64.4,85.2,78.5,0.0,0.708
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",4,29,1.0,22.5,51.5,53.4,53.0,57.4,83.0,77.9,0.0,0.655
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",5,30,0.968,16.8,67.4,30.2,62.2,64.0,81.3,73.9,0.0,0.5
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners",5,24,1.0,20.8,46.7,60.2,42.3,53.8,83.5,81.4,0.083,0.667
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",5,21,0.913,21.5,61.7,43.7,58.3,60.9,83.6,76.8,0.0,0.571
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",5,27,1.0,20.0,66.9,33.6,55.6,62.6,84.2,78.4,0.074,0.667
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",5,22,1.0,22.9,62.9,38.9,58.5,60.1,79.8,73.2,0.0,0.545
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",5,20,1.0,20.4,54.1,50.1,59.8,60.6,83.1,77.8,0.05,0.7
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",5,25,1.0,22.7,57.9,47.9,52.0,63.1,85.8,80.8,0.04,0.64
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",5,18,1.0,17.1,64.9,38.9,53.4,68.4,87.7,79.4,0.0,0.722
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",5,17,0.895,18.8,60.6,40.1,58.2,71.6,90.1,84.9,0.0,0.882
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",5,12,1.0,22.5,67.4,26.7,60.8,60.7,84.9,76.0,0.0,0.5
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",5,19,1.0,18.9,64.6,38.9,56.4,66.6,88.1,80.9,0.0,0.684
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",5,24,1.0,21.4,67.2,32.9,55.5,66.0,87.3,80.7,0.0,0.625
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",5,15,1.0,19.8,61.6,39.0,58.8,66.0,87.1,80.4,0.0,0.6
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",5,17,1.0,17.3,61.6,40.5,62.4,64.2,85.4,76.9,0.0,0.588
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",5,19,1.0,28.6,61.2,40.8,38.2,59.1,80.8,76.0,0.0,0.421
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",5,12,0.857,23.6,70.7,23.7,55.6,64.4,84.4,75.3,0.0,0.583
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",5,30,1.0,26.4,65.1,32.4,49.0,58.5,84.1,79.9,0.033,0.6
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",5,16,1.0,19.6,70.6,30.7,55.0,67.6,87.7,80.2,0.0,0.688
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",5,14,1.0,20.4,70.2,22.3,51.2,60.8,85.0,77.9,0.071,0.5
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",5,14,1.0,16.8,57.0,45.4,56.6,64.8,89.2,82.4,0.0,0.643
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",5,15,0.938,17.6,58.6,48.7,64.6,67.3,88.0,79.1,0.0,0.867
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",5,15,1.0,24.9,71.5,23.9,55.6,60.8,73.2,66.6,0.0,0.4
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",5,27,0.931,23.9,68.9,35.1,59.4,62.0,77.9,71.4,0.0,0.519
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",5,18,1.0,20.3,61.7,41.0,55.3,66.3,88.3,80.1,0.0,0.611
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",5,15,1.0,21.4,56.4,45.2,49.8,62.0,86.0,80.8,0.067,0.667
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",5,18,1.0,21.2,54.9,46.4,53.2,63.2,86.1,81.7,0.056,0.722
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners",5,18,1.0,16.5,49.4,58.2,64.6,62.9,83.2,72.6,0.0,0.778
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",3,16,1.0,29.2,46.5,59.7,46.3,48.0,73.6,65.0,0.125,0.562
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",5,20,1.0,22.3,61.1,40.6,51.9,55.9,80.6,71.4,0.05,0.5
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",5,16,1.0,23.8,62.1,40.7,54.3,61.7,84.5,75.2,0.0,0.5
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,4,15,0.938,35.0,45.4,57.3,30.8,45.7,72.8,72.0,0.0,0.333
29-2011.01,Cytogenetic Technologists,Technologists and Technicians,4,30,1.0,39.7,50.8,48.1,26.0,45.5,72.9,72.1,0.0,0.3
29-2011.02,Cytotechnologists,Technologists and Technicians,5,13,1.0,37.5,47.3,54.2,34.1,42.7,73.9,73.1,0.0,0.231
29-2011.04,Histotechnologists,Technologists and Technicians,4,16,0.941,40.2,34.1,70.6,22.4,36.9,64.1,65.4,0.0,0.188
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,3,14,1.0,39.9,43.5,58.9,25.5,44.1,67.2,67.9,0.0,0.071
29-2012.01,Histology Technicians,Technologists and Technicians,3,8,0.889,36.1,21.1,87.8,15.9,34.8,56.4,61.8,0.0,0.125
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,3,21,1.0,30.7,46.0,57.2,42.6,46.2,79.7,79.6,0.095,0.476
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,3,19,1.0,36.2,52.5,49.6,39.9,45.1,74.1,71.2,0.053,0.263
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,3,17,0.944,38.0,49.0,55.1,31.9,40.5,72.2,70.4,0.176,0.412
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,3,30,1.0,29.3,47.9,54.0,45.6,45.3,75.6,72.0,0.067,0.467
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,3,24,1.0,30.0,46.4,57.0,43.9,43.4,70.3,68.4,0.125,0.333
29-2036.00,Medical Dosimetrists,Technologists and Technicians,4,19,1.0,33.3,56.5,44.6,39.9,48.8,71.1,67.7,0.053,0.263
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,3,12,1.0,19.9,43.4,59.7,50.6,55.5,79.3,80.4,0.0,0.5
29-2043.00,Paramedics,Technologists and Technicians,3,13,0.929,13.0,47.9,61.4,58.6,64.3,87.3,84.9,0.0,0.769
29-2051.00,Dietetic Technicians,Technologists and Technicians,3,13,1.0,25.6,66.9,31.4,56.3,57.2,71.2,65.2,0.0,0.308
29-2052.00,Pharmacy Technicians,Technologists and Technicians,3,21,1.0,48.6,55.5,47.5,26.8,30.3,51.2,51.9,0.143,0.19
29-2053.00,Psychiatric Technicians,Technologists and Technicians,3,16,1.0,19.1,45.4,55.7,69.5,49.2,72.7,67.2,0.0,0.562
29-2055.00,Surgical Technologists,Technologists and Technicians,3,18,1.0,30.7,32.3,73.4,37.8,37.7,67.5,70.8,0.167,0.5
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,3,31,1.0,25.3,35.8,71.4,43.3,42.5,73.0,70.9,0.065,0.548
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,3,20,0.952,34.9,34.4,74.3,45.4,40.6,72.4,64.7,0.0,0.25
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,3,22,1.0,29.9,43.6,60.2,50.1,41.4,68.2,65.7,0.045,0.409
29-2072.00,Medical Records Specialists,Technologists and Technicians,3,16,1.0,45.9,74.5,24.8,36.8,37.9,56.8,52.6,0.25,0.188
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,3,21,1.0,32.8,49.5,55.3,43.9,44.3,64.8,60.1,0.048,0.19
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians,5,15,1.0,24.3,44.9,57.9,49.7,52.6,75.4,70.1,0.0,0.333
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,3,11,1.0,20.1,37.5,70.9,55.2,50.6,78.0,69.7,0.0,0.545
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,3,16,1.0,27.2,50.7,58.4,48.9,50.1,77.4,73.9,0.0,0.5
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,3,31,1.0,37.9,39.0,68.6,43.9,41.0,72.7,65.2,0.032,0.226
29-2099.08,Patient Representatives,Technologists and Technicians,3,13,0.929,40.7,74.6,22.0,44.3,39.6,40.7,36.8,0.308,0.077
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,16,1.0,39.1,72.4,22.2,41.4,46.1,55.0,51.6,0.188,0.25
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners",5,23,0.958,28.2,54.2,50.0,53.3,50.5,63.7,58.2,0.0,0.348
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",5,19,1.0,25.4,76.3,23.8,53.3,60.5,81.5,74.4,0.0,0.526
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",3,28,1.0,17.0,27.3,82.3,48.5,48.8,82.0,82.4,0.036,0.821
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",5,36,0.973,21.3,55.1,51.3,58.0,60.7,82.0,76.4,0.0,0.667
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,4,33,1.0,54.3,75.5,16.4,45.5,35.8,33.2,31.8,0.576,0.0
41-4011.07,Solar Sales Representatives and Assessors,Sales,3,13,0.929,46.1,77.2,19.7,44.4,44.1,35.9,35.0,0.385,0.0
41-9031.00,Sales Engineers,Sales,4,25,1.0,45.3,74.4,18.6,46.2,41.8,36.6,34.7,0.36,0.08
