onet_soc_code,title,susceptibility_mean,susceptibility_sd,susceptibility_p05,susceptibility_p95,exposure_p05,exposure_p95,quadrant_published,quadrant_holds,handoff_published,handoff_holds
29-1221.00,"Pediatricians, General",48.3,0.5,47.4,49.1,55.5,58.4,Human-anchored,1.0,Human held,1.0
29-2011.00,Medical and Clinical Laboratory Technologists,46.9,0.65,45.8,48.0,40.6,44.6,Human-anchored,1.0,Human held,1.0
29-1141.01,Acute Care Nurses,48.75,0.42,48.0,49.4,55.3,58.0,Human-anchored,1.0,Human held,1.0
29-1161.00,Nurse Midwives,48.2,0.51,47.4,49.1,54.8,58.1,Human-anchored,1.0,Human held,1.0
29-1141.00,Registered Nurses,47.7,0.38,47.1,48.3,51.0,53.4,Human-anchored,1.0,Human held,1.0
29-2033.00,Nuclear Medicine Technologists,47.26,0.51,46.4,48.1,42.3,45.5,Human-anchored,1.0,Human held,0.9325
19-4051.00,Nuclear Technicians,47.49,0.65,46.3,48.5,38.2,42.1,Human-anchored,1.0,Human held,1.0
29-1242.00,"Orthopedic Surgeons, Except Pediatric",47.42,0.51,46.6,48.2,51.1,54.3,Human-anchored,1.0,Human held,1.0
29-2081.00,"Opticians, Dispensing",48.42,0.64,47.4,49.5,44.8,48.7,Human-anchored,1.0,Human held,0.395
29-1131.00,Veterinarians,47.67,0.46,46.9,48.4,49.6,52.4,Human-anchored,1.0,Human held,1.0
29-2032.00,Diagnostic Medical Sonographers,47.2,0.45,46.4,47.9,45.1,47.7,Human-anchored,1.0,Human held,1.0
19-4092.00,Forensic Science Technicians,46.92,1.0,45.1,48.5,42.2,48.5,Human-anchored,1.0,Human held,1.0
29-1241.00,"Ophthalmologists, Except Pediatric",47.92,0.55,47.0,48.8,54.6,57.7,Human-anchored,1.0,Human held,1.0
29-1214.00,Emergency Medicine Physicians,47.26,0.57,46.3,48.2,55.2,58.7,Human-anchored,1.0,Human held,1.0
29-1243.00,Pediatric Surgeons,45.93,0.51,45.1,46.8,49.8,53.0,Human-anchored,1.0,Human held,1.0
29-1212.00,Cardiologists,46.53,0.45,45.8,47.3,51.5,54.1,Human-anchored,1.0,Human held,1.0
29-1229.03,Urologists,45.26,0.6,44.3,46.3,49.9,53.5,Human-anchored,1.0,Human held,1.0
29-9099.01,Midwives,45.42,0.43,44.7,46.2,49.9,52.5,Human-anchored,1.0,Human held,1.0
29-2034.00,Radiologic Technologists and Technicians,45.33,0.5,44.5,46.1,42.0,45.0,Human-anchored,1.0,Human held,1.0
29-1041.00,Optometrists,45.68,0.63,44.6,46.7,50.8,54.9,Human-anchored,1.0,Human held,1.0
29-2099.01,Neurodiagnostic Technologists,44.69,0.64,43.6,45.7,44.5,48.3,Human-anchored,1.0,Human held,1.0
29-2035.00,Magnetic Resonance Imaging Technologists,44.87,0.48,44.1,45.6,39.9,42.7,Human-anchored,1.0,Human held,1.0
29-2031.00,Cardiovascular Technologists and Technicians,43.58,0.48,42.8,44.3,40.0,42.9,Human-anchored,1.0,Human held,1.0
29-1023.00,Orthodontists,44.51,0.67,43.4,45.7,47.9,52.0,Human-anchored,1.0,Human held,1.0
29-1211.00,Anesthesiologists,43.99,0.51,43.2,44.8,48.1,51.3,Human-anchored,1.0,Human held,1.0
29-1292.00,Dental Hygienists,43.23,0.72,42.1,44.4,39.4,44.0,Human-anchored,1.0,Human held,1.0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,43.32,0.48,42.6,44.1,38.2,40.9,Human-anchored,1.0,Human held,1.0
29-1229.04,Physical Medicine and Rehabilitation Physicians,44.11,0.64,43.0,45.1,51.8,55.6,Human-anchored,1.0,Human held,1.0
29-1124.00,Radiation Therapists,43.24,0.43,42.5,43.9,39.9,42.6,Human-anchored,1.0,Human held,1.0
29-2011.04,Histotechnologists,41.47,0.78,40.3,42.8,27.2,31.6,Human-anchored,1.0,Human held,1.0
29-1141.03,Critical Care Nurses,42.85,0.43,42.1,43.6,44.4,47.0,Human-anchored,1.0,Human held,1.0
29-1291.00,Acupuncturists,42.32,0.78,41.1,43.7,44.4,49.1,Human-anchored,1.0,Human held,1.0
29-1126.00,Respiratory Therapists,42.65,0.48,41.9,43.5,43.3,46.3,Human-anchored,1.0,Human held,1.0
29-2091.00,Orthotists and Prosthetists,42.9,0.68,41.8,44.1,40.7,44.9,Human-anchored,1.0,Human held,1.0
29-2053.00,Psychiatric Technicians,41.46,0.51,40.6,42.3,40.3,43.4,Human-anchored,1.0,Human held,1.0
29-1151.00,Nurse Anesthetists,41.72,0.49,40.9,42.4,40.2,43.1,Human-anchored,1.0,Human held,1.0
29-2042.00,Emergency Medical Technicians,40.98,0.66,40.0,42.1,39.3,43.3,Human-anchored,1.0,Human held,1.0
29-2055.00,Surgical Technologists,38.66,0.64,37.6,39.7,27.4,31.2,Human-anchored,1.0,Human held,1.0
29-2099.05,Ophthalmic Medical Technologists,39.17,0.87,37.8,40.6,30.0,35.1,Human-anchored,1.0,Human held,1.0
29-2056.00,Veterinary Technologists and Technicians,38.73,0.43,38.0,39.4,30.9,33.5,Human-anchored,1.0,Human held,1.0
29-2092.00,Hearing Aid Specialists,38.7,0.8,37.3,40.0,33.5,38.5,Human-anchored,1.0,Human held,1.0
29-2043.00,Paramedics,38.67,0.69,37.5,39.9,41.3,45.6,Human-anchored,1.0,Human held,1.0
29-1021.00,"Dentists, General",36.5,0.67,35.4,37.6,34.8,38.9,Human-anchored,1.0,Human held,1.0
29-2012.01,Histology Technicians,34.69,1.3,32.6,36.7,13.0,20.4,Human-anchored,1.0,Human held,1.0
29-1071.01,Anesthesiologist Assistants,35.84,0.59,34.9,36.8,31.4,35.1,Human-anchored,1.0,Human held,1.0
29-2057.00,Ophthalmic Medical Technicians,36.75,0.88,35.4,38.2,26.2,31.5,Human-anchored,1.0,Human held,1.0
29-1024.00,Prosthodontists,30.17,0.9,28.6,31.6,23.8,29.5,Human-anchored,1.0,Human held,1.0
29-9093.00,Surgical Assistants,30.57,0.45,29.8,31.3,22.2,25.0,Human-anchored,1.0,Human held,1.0
29-1022.00,Oral and Maxillofacial Surgeons,29.92,0.87,28.6,31.5,30.5,35.9,Human-anchored,1.0,Human held,1.0
