onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,103700.0,67.0,37.4,47.4,2.3,2,AI recommended,3,"AI executed, human veto",1,21.7,Crossing now,8.8,0.4,proposing action to taking it
17-3013.00,Mechanical Drafters,Technologists and Technicians,39960.0,68.8,37.9,57.8,0.7,2,AI recommended,3,"AI executed, human veto",1,22.5,Crossing now,9.8,0.4,proposing action to taking it
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,68520.0,63.5,42.2,49.5,-0.3,2,AI recommended,3,"AI executed, human veto",1,24.5,Crossing now,8.7,0.4,proposing action to taking it
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",3379720.0,51.1,68.1,67.2,-16.1,1,AI informed,2,AI recommended,1,29.3,Human held,6.7,0.4,
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians,17920.0,65.4,40.0,58.5,0.6,2,AI recommended,3,"AI executed, human veto",1,25.3,Crossing now,6.4,0.3,proposing action to taking it
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners",15730.0,54.5,39.8,39.3,9.0,1,AI informed,3,"AI executed, human veto",2,38.7,Handed off,2.2,0.3,
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners",18120.0,58.8,42.6,33.6,2.6,2,AI recommended,3,"AI executed, human veto",1,30.0,Crossing now,5.8,0.3,proposing action to taking it
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners",8470.0,59.5,40.0,39.4,4.7,2,AI recommended,3,"AI executed, human veto",1,28.8,Crossing now,5.7,0.3,proposing action to taking it
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",23470.0,59.6,38.5,33.8,6.1,2,AI recommended,3,"AI executed, human veto",1,28.3,Handed off,6.1,0.3,proposing action to taking it
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners",5850.0,57.6,41.9,38.9,4.2,2,AI recommended,3,"AI executed, human veto",1,29.6,Crossing now,4.5,0.3,proposing action to taking it
19-4099.01,Quality Control Analysts,Technologists and Technicians,73910.0,61.8,42.1,55.0,0.9,2,AI recommended,3,"AI executed, human veto",1,22.2,Crossing now,7.1,0.3,proposing action to taking it
15-1232.00,Computer User Support Specialists,Technologists and Technicians,717190.0,69.4,32.3,57.0,6.0,2,AI recommended,3,"AI executed, human veto",1,21.4,Handed off,5.2,0.2,proposing action to taking it
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners",367840.0,54.3,50.1,46.3,-1.2,1,AI informed,2,AI recommended,1,28.5,Crossing now,4.2,0.2,
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",96900.0,61.8,37.3,42.1,5.7,2,AI recommended,3,"AI executed, human veto",1,25.1,Handed off,3.3,0.2,proposing action to taking it
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners",18060.0,58.6,46.6,44.4,-1.2,2,AI recommended,3,"AI executed, human veto",1,24.8,Crossing now,3.7,0.2,proposing action to taking it
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners",154070.0,58.9,42.3,48.4,2.8,2,AI recommended,3,"AI executed, human veto",1,27.8,Crossing now,4.4,0.2,proposing action to taking it
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",22300.0,62.0,37.2,48.3,5.7,2,AI recommended,3,"AI executed, human veto",1,27.1,Handed off,4.4,0.2,proposing action to taking it
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",83900.0,49.7,65.0,65.6,-11.5,1,AI informed,2,AI recommended,1,33.1,Human held,3.7,0.2,
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",35010.0,47.7,69.9,56.0,-14.2,1,AI informed,2,AI recommended,1,30.7,Human held,3.6,0.2,
17-2071.00,Electrical Engineers,"Research, Development, Design, and Practitioners",198750.0,57.5,45.2,41.3,1.0,2,AI recommended,3,"AI executed, human veto",1,24.2,Crossing now,2.2,0.1,proposing action to taking it
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners",8250.0,59.6,43.2,33.9,1.4,2,AI recommended,3,"AI executed, human veto",1,22.0,Crossing now,2.0,0.1,proposing action to taking it
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians,36190.0,62.0,38.2,47.1,4.7,2,AI recommended,3,"AI executed, human veto",1,18.3,Crossing now,2.6,0.1,proposing action to taking it
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners",25950.0,53.5,46.8,30.7,2.9,1,AI informed,3,"AI executed, human veto",2,35.4,Crossing now,0.5,0.1,
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians,15130.0,63.4,33.2,47.3,8.7,2,AI recommended,3,"AI executed, human veto",1,20.6,Handed off,3.4,0.1,proposing action to taking it
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",8560.0,51.9,63.1,60.1,-11.9,1,AI informed,2,AI recommended,1,28.5,Human held,2.5,0.1,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,220260.0,51.3,41.6,41.5,10.2,1,AI informed,3,"AI executed, human veto",2,32.5,Handed off,0.0,0.0,
11-9111.00,Medical and Health Services Managers,Managerial,597080.0,66.5,50.0,47.6,-10.0,2,AI recommended,2,AI recommended,0,32.2,Human held,14.7,0.0,
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,146190.0,68.4,32.3,50.0,6.6,3,"AI executed, human veto",3,"AI executed, human veto",0,10.9,Handed off,3.7,0.0,
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners",69990.0,77.7,31.9,39.4,2.3,3,"AI executed, human veto",3,"AI executed, human veto",0,25.0,Crossing now,21.5,0.0,
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners",92230.0,75.9,34.1,55.5,0.9,3,"AI executed, human veto",3,"AI executed, human veto",0,26.7,Crossing now,19.1,0.0,
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",186740.0,74.8,32.6,55.0,2.9,3,"AI executed, human veto",3,"AI executed, human veto",0,19.4,Crossing now,16.8,0.0,
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",70190.0,76.2,32.9,42.3,2.0,3,"AI executed, human veto",3,"AI executed, human veto",0,26.0,Crossing now,19.3,0.0,
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,77.8,33.7,39.8,0.5,3,"AI executed, human veto",3,"AI executed, human veto",0,30.8,Crossing now,25.8,0.0,
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians,14260.0,58.1,31.6,61.4,14.1,3,"AI executed, human veto",2,AI recommended,-1,-6.4,Handed off,0.0,0.0,
17-1022.00,Surveyors,Technologists and Technicians,50830.0,58.4,41.2,52.6,4.3,2,AI recommended,3,"AI executed, human veto",1,4.6,Crossing now,0.0,0.0,proposing action to taking it
17-1022.01,Geodetic Surveyors,Technologists and Technicians,50830.0,65.3,36.4,51.8,4.3,3,"AI executed, human veto",3,"AI executed, human veto",0,4.1,Crossing now,0.3,0.0,
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",21450.0,63.6,50.4,39.4,-8.6,2,AI recommended,2,AI recommended,0,39.3,Watch point,20.4,0.0,
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners",154070.0,56.7,41.1,47.0,5.8,2,AI recommended,3,"AI executed, human veto",1,29.6,Handed off,0.5,0.0,proposing action to taking it
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,11280.0,51.5,37.8,51.6,13.8,2,AI recommended,2,AI recommended,0,6.7,Handed off,0.0,0.0,
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians,95130.0,60.8,39.0,45.2,4.7,2,AI recommended,3,"AI executed, human veto",1,21.0,Crossing now,0.0,0.0,proposing action to taking it
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,15520.0,54.0,37.2,53.9,12.0,2,AI recommended,2,AI recommended,0,11.1,Handed off,0.0,0.0,
17-3024.01,Robotics Technicians,Technologists and Technicians,15520.0,49.3,35.8,39.7,18.1,2,AI recommended,2,AI recommended,0,6.9,Human held,0.0,0.0,
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians,12190.0,55.0,42.3,51.2,6.0,2,AI recommended,3,"AI executed, human veto",1,12.8,Handed off,0.0,0.0,proposing action to taking it
17-3026.00,Industrial Engineering Technologists and Technicians,Technologists and Technicians,75570.0,57.2,43.6,52.2,2.9,2,AI recommended,3,"AI executed, human veto",1,22.4,Crossing now,0.3,0.0,proposing action to taking it
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,75570.0,52.1,35.5,41.8,15.5,2,AI recommended,2,AI recommended,0,5.5,Handed off,0.0,0.0,
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,36190.0,55.0,35.6,56.0,12.7,2,AI recommended,3,"AI executed, human veto",1,9.1,Handed off,0.0,0.0,proposing action to taking it
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians,16540.0,55.4,34.3,57.8,13.7,2,AI recommended,3,"AI executed, human veto",1,13.1,Handed off,0.0,0.0,proposing action to taking it
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,59930.0,51.0,37.3,75.2,14.8,2,AI recommended,2,AI recommended,0,-4.2,Handed off,0.0,-0.0,
17-3029.08,Photonics Technicians,Technologists and Technicians,59930.0,46.9,33.2,46.4,23.5,2,AI recommended,2,AI recommended,0,-0.3,Human held,0.0,-0.0,
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,58010.0,57.8,35.2,58.8,10.8,3,"AI executed, human veto",2,AI recommended,-1,-4.3,Handed off,0.0,0.0,
19-1012.00,Food Scientists and Technologists,"Research, Development, Design, and Practitioners",13060.0,54.1,42.4,46.4,6.7,2,AI recommended,3,"AI executed, human veto",1,29.1,Handed off,0.0,0.0,proposing action to taking it
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners",33830.0,52.7,38.7,45.6,11.7,1,AI informed,3,"AI executed, human veto",2,32.0,Handed off,0.0,0.0,
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners",18940.0,47.0,38.4,65.0,18.1,2,AI recommended,3,"AI executed, human veto",1,17.0,Human held,0.0,0.0,proposing action to taking it
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners",25950.0,61.8,38.4,46.2,4.6,2,AI recommended,3,"AI executed, human veto",1,20.2,Crossing now,0.0,0.0,proposing action to taking it
19-1032.00,Foresters,"Research, Development, Design, and Practitioners",10430.0,51.0,48.6,31.4,3.5,1,AI informed,3,"AI executed, human veto",2,30.3,Crossing now,0.0,0.0,
19-2031.00,Chemists,"Research, Development, Design, and Practitioners",82770.0,51.1,44.4,51.7,7.6,2,AI recommended,3,"AI executed, human veto",1,17.5,Handed off,0.0,0.0,proposing action to taking it
19-3091.00,Anthropologists and Archeologists,"Research, Development, Design, and Practitioners",8990.0,54.5,42.9,28.0,5.9,1,AI informed,3,"AI executed, human veto",2,32.9,Handed off,0.0,0.0,
19-3092.00,Geographers,"Research, Development, Design, and Practitioners",1400.0,58.0,34.7,46.1,11.1,2,AI recommended,3,"AI executed, human veto",1,26.9,Handed off,0.0,0.0,proposing action to taking it
19-4012.00,Agricultural Technicians,Technologists and Technicians,15130.0,46.5,31.8,43.1,25.4,2,AI recommended,2,AI recommended,0,0.0,Human held,0.0,0.0,
19-4013.00,Food Science Technicians,Technologists and Technicians,14600.0,48.1,36.6,67.6,18.7,2,AI recommended,2,AI recommended,0,-6.1,Human held,0.0,-0.0,
19-4021.00,Biological Technicians,Technologists and Technicians,69620.0,51.5,31.5,68.7,20.1,2,AI recommended,2,AI recommended,0,2.5,Handed off,0.0,0.0,
19-4031.00,Chemical Technicians,Technologists and Technicians,57540.0,50.5,41.5,56.4,11.1,2,AI recommended,2,AI recommended,0,15.9,Handed off,0.0,0.0,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,34670.0,51.3,45.3,43.7,6.5,2,AI recommended,2,AI recommended,0,17.7,Handed off,0.0,0.0,
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,6980.0,51.4,34.6,44.5,17.1,2,AI recommended,2,AI recommended,0,5.9,Handed off,0.0,0.0,
19-4044.00,Hydrologic Technicians,Technologists and Technicians,2840.0,59.5,37.8,,6.9,2,AI recommended,3,"AI executed, human veto",1,21.5,Handed off,0.0,0.0,proposing action to taking it
19-4051.00,Nuclear Technicians,Technologists and Technicians,6470.0,46.3,44.9,61.8,12.5,2,AI recommended,2,AI recommended,0,3.7,Human held,0.0,0.0,
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,6470.0,50.6,44.5,61.4,8.0,2,AI recommended,2,AI recommended,0,-5.9,Handed off,0.0,-0.0,
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,30410.0,49.5,42.9,41.0,10.8,2,AI recommended,2,AI recommended,0,10.3,Human held,0.0,0.0,
19-4092.00,Forensic Science Technicians,Technologists and Technicians,19120.0,44.4,55.1,48.1,4.8,1,AI informed,2,AI recommended,1,18.4,Human held,0.0,0.0,
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,73910.0,63.2,31.9,50.2,10.2,2,AI recommended,3,"AI executed, human veto",1,16.9,Handed off,0.0,0.0,proposing action to taking it
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners",124390.0,37.6,71.1,72.7,-0.4,1,AI informed,1,AI informed,0,23.3,Human held,0.0,0.0,
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",4910.0,27.0,77.9,58.5,20.5,0,Human only,1,AI informed,1,25.0,Human held,0.0,0.0,
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",6210.0,47.4,70.6,86.9,-14.5,1,AI informed,1,AI informed,0,31.5,Human held,3.1,0.0,
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",870.0,29.8,67.7,67.3,21.5,1,AI informed,1,AI informed,0,13.1,Human held,0.0,0.0,
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",42790.0,48.0,72.8,75.9,-17.4,1,AI informed,1,AI informed,0,34.5,Human held,9.9,0.0,
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",321970.0,61.0,60.4,71.4,-16.8,2,AI recommended,2,AI recommended,0,28.6,Human held,16.6,0.0,
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",162150.0,53.1,71.4,87.2,-21.4,1,AI informed,1,AI informed,0,35.1,Human held,14.6,0.0,
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",162150.0,36.0,66.5,70.9,7.3,1,AI informed,2,AI recommended,1,15.2,Human held,0.0,0.0,
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",17070.0,46.8,64.1,76.0,-7.3,1,AI informed,2,AI recommended,1,12.5,Human held,0.0,0.0,
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",14930.0,56.9,72.8,69.2,-26.1,1,AI informed,1,AI informed,0,42.4,Watch point,19.3,0.0,
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners",139790.0,44.8,68.6,69.3,-9.3,1,AI informed,2,AI recommended,1,23.3,Human held,0.0,0.0,
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners",3379720.0,51.2,71.1,74.9,-19.2,1,AI informed,1,AI informed,0,36.7,Human held,12.7,0.0,
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",3379720.0,53.8,72.8,68.0,-23.4,1,AI informed,1,AI informed,0,41.0,Human held,18.4,0.0,
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",3379720.0,45.4,69.7,74.5,-11.2,1,AI informed,2,AI recommended,1,25.3,Human held,0.0,0.0,
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",3379720.0,56.9,70.7,58.4,-24.0,1,AI informed,1,AI informed,0,46.6,Watch point,21.3,0.0,
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners",51840.0,42.9,67.1,75.2,-5.2,1,AI informed,2,AI recommended,1,21.3,Human held,0.0,0.0,
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",7920.0,51.2,72.3,74.1,-20.4,1,AI informed,1,AI informed,0,37.1,Human held,12.5,0.0,
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",323040.0,56.8,70.7,78.6,-23.9,1,AI informed,1,AI informed,0,42.9,Watch point,21.6,0.0,
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",38760.0,46.7,72.2,76.1,-15.3,1,AI informed,1,AI informed,0,31.0,Human held,3.3,0.0,
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",17290.0,48.4,71.0,,-16.1,1,AI informed,1,AI informed,0,30.7,Human held,8.0,0.0,
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",11370.0,51.8,71.7,74.8,-20.4,1,AI informed,1,AI informed,0,43.1,Human held,18.9,0.0,
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",32880.0,49.4,75.7,90.0,-21.9,1,AI informed,1,AI informed,0,39.5,Human held,16.9,0.0,
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",107510.0,59.0,73.0,82.4,-28.0,1,AI informed,1,AI informed,0,41.7,Watch point,24.0,0.0,
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",67150.0,52.9,72.7,76.8,-22.5,1,AI informed,1,AI informed,0,41.7,Human held,19.1,0.0,
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",10590.0,56.1,73.1,72.8,-25.7,1,AI informed,1,AI informed,0,44.0,Watch point,24.4,0.0,
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",21260.0,51.8,73.4,73.9,-22.1,1,AI informed,1,AI informed,0,38.3,Human held,15.9,0.0,
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",39390.0,51.8,73.2,76.3,-21.9,1,AI informed,1,AI informed,0,39.9,Human held,14.6,0.0,
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",27980.0,60.9,70.5,67.3,-26.9,1,AI informed,1,AI informed,0,45.8,Watch point,29.1,0.0,
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",342720.0,57.2,72.6,78.2,-26.1,1,AI informed,1,AI informed,0,47.5,Watch point,27.5,0.0,
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",342720.0,48.0,73.6,71.9,-18.2,1,AI informed,1,AI informed,0,34.6,Human held,9.5,0.0,
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",342720.0,46.3,76.9,72.0,-19.5,1,AI informed,1,AI informed,0,38.3,Human held,10.8,0.0,
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",8950.0,50.4,73.0,76.5,-20.3,1,AI informed,1,AI informed,0,37.4,Human held,15.1,0.0,
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",1190.0,48.5,71.6,,-16.8,1,AI informed,1,AI informed,0,30.5,Human held,7.8,0.0,
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners",7830.0,44.3,69.6,86.6,-9.6,1,AI informed,2,AI recommended,1,30.4,Human held,0.0,0.0,
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",222740.0,44.9,61.1,72.0,-1.9,1,AI informed,2,AI recommended,1,14.6,Human held,0.0,0.0,
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,332940.0,48.0,55.1,76.7,0.3,2,AI recommended,2,AI recommended,0,9.0,Human held,0.0,0.0,
29-2011.01,Cytogenetic Technologists,Technologists and Technicians,332940.0,52.5,54.8,77.9,-4.2,2,AI recommended,2,AI recommended,0,9.7,Crossing now,0.0,0.0,
29-2011.02,Cytotechnologists,Technologists and Technicians,332940.0,51.3,57.4,78.3,-5.6,2,AI recommended,2,AI recommended,0,8.7,Human held,0.0,0.0,
29-2011.04,Histotechnologists,Technologists and Technicians,332940.0,41.9,47.6,73.0,15.8,2,AI recommended,1,AI informed,-1,-10.6,Human held,0.0,0.0,
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,332940.0,47.4,50.8,67.6,5.3,2,AI recommended,2,AI recommended,0,1.6,Human held,0.0,0.0,
29-2012.01,Histology Technicians,Technologists and Technicians,332940.0,32.6,41.7,81.8,39.8,2,AI recommended,1,AI informed,-1,-17.7,Human held,0.0,0.0,
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,62960.0,46.8,64.0,82.6,-7.2,2,AI recommended,2,AI recommended,0,11.5,Human held,0.0,0.0,
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,90160.0,50.2,61.4,85.3,-8.5,2,AI recommended,2,AI recommended,0,14.1,Human held,0.0,0.0,
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,17080.0,49.6,57.5,77.5,-3.9,2,AI recommended,2,AI recommended,0,8.2,Human held,0.0,0.0,
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,230490.0,48.9,61.9,82.2,-7.6,1,AI informed,2,AI recommended,1,13.9,Human held,0.0,0.0,
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,43390.0,47.9,58.5,78.5,-3.0,1,AI informed,2,AI recommended,1,11.9,Human held,0.0,0.0,
29-2036.00,Medical Dosimetrists,Technologists and Technicians,3410.0,53.6,58.5,65.7,-8.9,2,AI recommended,2,AI recommended,0,20.8,Human held,1.4,0.0,
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,180510.0,43.3,67.7,,-6.3,1,AI informed,2,AI recommended,1,21.1,Human held,0.0,0.0,
29-2043.00,Paramedics,Technologists and Technicians,100610.0,40.0,75.1,70.7,-8.7,1,AI informed,1,AI informed,0,30.6,Human held,0.0,0.0,
29-2052.00,Pharmacy Technicians,Technologists and Technicians,471680.0,60.8,41.5,84.3,2.2,3,"AI executed, human veto",3,"AI executed, human veto",0,3.3,Crossing now,0.0,0.0,
29-2053.00,Psychiatric Technicians,Technologists and Technicians,156960.0,47.0,67.3,66.8,-10.8,1,AI informed,2,AI recommended,1,22.6,Human held,0.0,0.0,
29-2055.00,Surgical Technologists,Technologists and Technicians,117460.0,40.3,55.2,84.7,10.7,2,AI recommended,1,AI informed,-1,-1.5,Human held,0.0,0.0,
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,129140.0,40.4,58.9,70.7,6.9,1,AI informed,2,AI recommended,1,5.5,Human held,0.0,0.0,
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,71010.0,38.8,58.0,74.2,10.5,2,AI recommended,1,AI informed,-1,-5.5,Human held,0.0,0.0,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,648410.0,47.1,59.2,68.1,-2.8,1,AI informed,2,AI recommended,1,9.9,Human held,0.0,0.0,
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,73530.0,50.3,55.1,81.5,-2.3,2,AI recommended,2,AI recommended,0,14.1,Human held,0.0,0.0,
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians,9390.0,45.2,63.9,69.7,-5.1,1,AI informed,2,AI recommended,1,20.3,Human held,0.0,0.0,
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,11270.0,40.4,63.0,71.0,2.8,1,AI informed,2,AI recommended,1,14.4,Human held,0.0,0.0,
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,182610.0,46.6,64.9,75.4,-7.9,1,AI informed,2,AI recommended,1,22.3,Human held,0.0,0.0,
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,182610.0,41.4,58.1,73.4,6.1,2,AI recommended,2,AI recommended,0,-4.5,Human held,0.0,-0.0,
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners",30500.0,51.7,56.5,60.4,-5.1,1,AI informed,2,AI recommended,1,25.4,Human held,0.0,0.0,
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",22270.0,31.6,66.7,73.3,17.4,1,AI informed,1,AI informed,0,5.3,Human held,0.0,0.0,
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,284800.0,74.2,35.4,58.8,0.4,3,"AI executed, human veto",3,"AI executed, human veto",0,18.9,Crossing now,10.7,0.0,
